root,asset,asset_class,horizon_vol_bars,horizon,beta_bps_per_full_ofi_high,beta_bps_per_full_ofi_low,beta_bps_per_full_ofi_spread,corr_high,corr_low,corr_spread,hit_rate_high,hit_rate_low,hit_rate_spread,n_high,n_low,n_spread,nw_tstat_high,nw_tstat_low,nw_tstat_spread,r2_high,r2_low,r2_spread,abs_corr_high_minus_low
CL,WTI Crude Oil,Energy,6,next_6_vol_bars,-321.4025110023509,-362.8234769521449,-249.38640525340026,-0.18463214382480267,-0.101255285962483,-0.139441809538867,0.5251798561151079,0.47101449275362317,0.5251798561151079,139,138,139,-3.131919243099183,-1.483310945154938,-1.982013668069041,0.034089028533342725,0.010252632935344397,0.01944401824747377,0.08337685786231967
CL,WTI Crude Oil,Energy,12,next_12_vol_bars,-394.68384569448955,-311.04936132908136,-328.56021505068344,-0.17686604092151614,-0.06801759405671076,-0.14544447990429127,0.5112781954887218,0.5,0.5338345864661654,133,132,133,-2.241387723986792,-1.1500382812166057,-1.7772217689623526,0.0312815964312515,0.0046263931012635595,0.021154096734629757,0.10884844686480538
CNH,Offshore Renminbi,FX,0,same_vol_bar,1.4140212443159506,0.9098659514469769,0.5338565214891743,0.16311773766421797,0.09750447973977283,0.08138878819542276,0.4696969696969697,0.5,0.5373134328358209,66,64,67,1.4567237222837834,0.8039504638367898,0.9482380576879806,0.026607396340692646,0.009507123569323706,0.006624134843919438,0.06561325792444514
CNH,Offshore Renminbi,FX,1,next_1_vol_bar,1.723475819524652,2.665363338682894,-0.3729911991986249,0.20205425805240368,0.2815395813596438,-0.05581022872934921,0.47692307692307695,0.640625,0.4090909090909091,65,64,66,2.313516147052251,2.4003510755646973,-0.7075958460907567,0.04082592319710743,0.07926453587216342,0.0031147816308224607,-0.07948532330724012
CNH,Offshore Renminbi,FX,3,next_3_vol_bars,1.9806348319420797,2.885801416354803,-0.3491332572809768,0.11966068559973542,0.16059195781415614,-0.027240102689911352,0.47619047619047616,0.5161290322580645,0.484375,63,62,64,1.2044015873614855,0.9599453771414178,-0.21408198790715272,0.014318679678198887,0.02578977691458373,0.0007420231945569622,-0.04093127221442072
CNH,Offshore Renminbi,FX,6,next_6_vol_bars,4.442602229976531,6.103026272963269,-0.6546823147740679,0.1628465264530314,0.20900656568072853,-0.030841282373700096,0.48333333333333334,0.5932203389830508,0.47540983606557374,60,59,61,1.7096189498308485,1.309639849074175,-0.266010312952214,0.02651899117781764,0.04368374449765278,0.0009511846984542327,-0.046160039227697125
CNH,Offshore Renminbi,FX,12,next_12_vol_bars,0.949718437534197,6.463091877813543,-2.963885755443651,0.019257189549604564,0.12536130561711964,-0.08278354970499463,0.48148148148148145,0.5094339622641509,0.5,54,53,56,0.20788671458323138,0.9906091994895104,-0.7180417495184643,0.00037083934934944995,0.015715456946028716,0.006853116101759649,-0.10610411606751508
DHB,Duration-Hedged IG Credit Index,Credit,0,same_vol_bar,-1.4941758467029893,-1.02291741076996,-0.6154428180473728,-0.14363358366409926,-0.080555383541702,-0.06885687435381109,0.4418604651162791,0.4375,0.4883720930232558,43,48,43,-1.5677255597299398,-0.7525645287418,-0.5052909401476461,0.020630606356191628,0.006489169817550433,0.00474126914577655,0.06307820012239726
DHB,Duration-Hedged IG Credit Index,Credit,1,next_1_vol_bar,-0.8375914377383634,-0.5213962386997494,-0.16914331865650126,-0.08282324321506844,-0.03970636372599138,-0.019466154373183966,0.4186046511627907,0.40425531914893614,0.4883720930232558,43,47,43,-0.9580030071446622,-0.31937456619665894,-0.278286368953159,0.006859689616662279,0.0015765953203407124,0.000378931166080565,0.04311687948907706
DHB,Duration-Hedged IG Credit Index,Credit,3,next_3_vol_bars,-0.5510524387675662,-0.43211692154550313,0.5069106518213281,-0.030677551440623337,-0.017811643025150533,0.031889898251572076,0.4878048780487805,0.5777777777777777,0.43902439024390244,41,45,41,-0.3888881847531003,-0.1426260278415598,0.37257873725437574,0.0009411121623922325,0.00031725462725551434,0.0010169656104956903,0.012865908415472804
DHB,Duration-Hedged IG Credit Index,Credit,6,next_6_vol_bars,-0.970314599623318,-2.2630180618624647,2.282575978975147,-0.04796683831936086,-0.08072353884471341,0.1275940889636185,0.42105263157894735,0.3333333333333333,0.47368421052631576,38,42,38,-0.4676089145431153,-0.48374806960865707,2.3117186019818394,0.0023008175783557627,0.006516289723613844,0.016280251538455803,-0.032756700525352546
DHB,Duration-Hedged IG Credit Index,Credit,12,next_12_vol_bars,2.447837342914555,-3.4811772961855674,5.35611959749461,0.10655517270415125,-0.11304714742175377,0.2817040917122404,0.6060606060606061,0.3333333333333333,0.6363636363636364,33,36,33,1.2023024721921174,-0.6862086798240902,2.1016212576791875,0.011354004830011255,0.012779657540195832,0.07935719528741836,-0.006491974717602517
DHY,Duration-Hedged HY Credit Index,Credit,0,same_vol_bar,-0.5218507263366349,-0.4017535813172371,-0.6567309142270225,-0.04291700948165317,-0.013615387519858475,-0.048820121210613104,0.4262295081967213,0.43548387096774194,0.4032258064516129,61,62,62,-0.2850747588694807,-0.12877644381554815,-0.3241742701128873,0.0018418697028483866,0.0001853787773157256,0.0023834042350189266,0.029301621961794692
DHY,Duration-Hedged HY Credit Index,Credit,1,next_1_vol_bar,1.0287359051854772,-1.944682112767769,2.0256992182579197,0.07603878877745734,-0.06563620465007665,0.13321885943804396,0.4666666666666667,0.4426229508196721,0.5081967213114754,60,61,61,0.4272767863787208,-0.5319409783476498,0.8088381802655134,0.005781897398743019,0.00430811136086684,0.017747264509973104,0.010402584127380696
DHY,Duration-Hedged HY Credit Index,Credit,3,next_3_vol_bars,-1.2768393397753721,6.919902243288816,-2.8436195787519374,-0.061610472934012346,0.14542893767022683,-0.12384410432721245,0.4482758620689655,0.576271186440678,0.4067796610169492,58,59,59,-0.39203433212853944,1.4471291192349929,-0.8362081335009501,0.0037958503751526207,0.021149575911890595,0.015337362176609304,-0.08381846473621449
