root,asset,asset_class,feature,horizon_vol_bars,horizon,n,beta_bps_per_full_ofi,nw_tstat,r2,corr,hit_rate
NIY,Nikkei 225,Equity,low,3,next_3_vol_bars,155,-57.450043739107564,-0.7063231552605069,0.0044234962296602065,-0.0665093694877645,0.44516129032258067
NIY,Nikkei 225,Equity,high,3,next_3_vol_bars,153,-39.31797822036324,-1.5267816177706672,0.010102588837231807,-0.10051163533259004,0.47058823529411764
NIY,Nikkei 225,Equity,spread,3,next_3_vol_bars,155,-30.124755116432976,-1.1335454841489023,0.005402843812686742,-0.07350403943108542,0.4838709677419355
NIY,Nikkei 225,Equity,low,6,next_6_vol_bars,155,-155.7107691238352,-1.3784346217304906,0.01393185124343177,-0.11803326329231019,0.47096774193548385
NIY,Nikkei 225,Equity,high,6,next_6_vol_bars,153,-41.165128123867426,-0.7513674952453969,0.004745977249044353,-0.06889105347608182,0.5294117647058824
NIY,Nikkei 225,Equity,spread,6,next_6_vol_bars,155,-10.07895159265583,-0.1982800087328064,0.0002592941245775915,-0.016102612352580693,0.5483870967741935
NIY,Nikkei 225,Equity,low,12,next_12_vol_bars,155,-126.7769853802116,-0.8368105850807004,0.003955377476176136,-0.06289179180287774,0.4129032258064516
NIY,Nikkei 225,Equity,high,12,next_12_vol_bars,153,87.46301778981857,0.9605748509644175,0.009195217651290388,0.09589169750969088,0.5424836601307189
NIY,Nikkei 225,Equity,spread,12,next_12_vol_bars,155,124.79442600910066,1.441656069259342,0.017025030524888907,0.13048000047857564,0.5806451612903226
6E,Euro FX,FX,low,0,same_vol_bar,142,3.7384394016967804,0.7798431871297494,0.002988587262085729,0.054667972909975125,0.4647887323943662
6E,Euro FX,FX,high,0,same_vol_bar,143,31.712599525694845,5.833483753294475,0.29366568858379904,0.5419092992224797,0.6503496503496503
6E,Euro FX,FX,spread,0,same_vol_bar,143,16.85740362198042,3.888240187788093,0.14261192520006483,0.3776399412139356,0.6083916083916084
