,kmeans_3,dbscan,spectral_3
55050,2,-1,1
55097,0,0,0
55143,1,-1,0
55189,1,-1,0
55236,0,0,0
55282,1,-1,0
55328,2,-1,1
55374,2,0,0
55421,2,0,1
55467,2,-1,1
55513,2,-1,1
55560,0,0,0
55606,0,0,0
55652,1,-1,0
55699,0,0,0
55745,1,-1,0
55791,2,0,1
55837,0,0,0
55884,0,-1,0
55930,2,-1,1
55976,0,0,0
56023,1,-1,0
56069,1,-1,0
56115,0,0,0
56162,0,0,0
56208,2,-1,1
56254,2,0,0
56300,2,0,1
56347,2,-1,1
56393,0,0,0
56439,2,0,1
56486,1,-1,0
56532,1,-1,1
56578,1,-1,0
56625,0,-1,0
56671,1,-1,0
56717,1,-1,0
56763,0,0,0
56810,1,-1,0
56856,1,-1,0
56902,1,-1,0
56949,2,-1,1
56995,1,-1,0
57041,1,-1,0
57088,1,-1,0
57134,1,-1,0
57180,2,-1,0
57226,2,0,0
57273,2,-1,1
57319,1,-1,0
57365,2,-1,1
57412,0,0,0
57458,2,0,1
57504,1,-1,1
57551,0,0,0
57597,1,0,0
57643,1,-1,0
57689,2,0,1
57736,2,0,1
57782,2,-1,1
57828,2,-1,1
57875,2,-1,1
57921,2,0,1
57967,1,-1,0
58014,1,-1,0
58060,2,0,1
58106,0,0,0
58152,0,0,0
58199,0,0,2
58245,1,-1,0
58291,1,-1,0
58338,1,-1,0
58384,2,0,0
58430,1,-1,0
58477,1,-1,0
58523,0,0,0
58569,2,0,0
58615,2,0,0
58662,1,-1,0
58708,2,-1,1
58754,2,-1,1
58801,2,0,1
58847,2,0,0
58893,1,-1,0
58940,2,-1,1
58986,2,0,0
59032,1,-1,0
59078,2,-1,1
59125,2,0,1
59171,2,0,1
59217,2,0,0
59264,2,-1,1
59310,2,-1,1
59356,2,-1,1
59403,2,0,1
59449,2,0,1
59495,0,0,0
59541,2,-1,1
59588,1,-1,0
59634,2,0,1
59680,1,-1,0
59727,0,0,0
59773,0,0,0
59819,2,0,1
59866,2,0,1
59912,0,0,2
59958,0,0,0
60004,1,0,0
60051,2,-1,1
60097,1,-1,0
60143,0,0,0
60190,2,0,1
60236,2,0,1
60282,2,0,1
60329,1,-1,0
60375,2,0,1
60421,2,-1,1
60467,1,-1,0
60514,2,-1,0
60560,2,0,0
60606,0,0,0
60653,2,0,1
60699,2,-1,0
60745,2,0,1
60792,2,0,0
60838,0,0,0
60884,2,0,1
60930,2,0,1
60977,0,0,0
61023,1,-1,0
61069,2,-1,1
61116,0,0,0
61162,0,0,0
61208,2,-1,1
61255,1,-1,0
61301,1,-1,0
61347,2,0,1
61393,2,-1,1
61440,1,-1,0
61486,2,0,1
61532,2,-1,1
61579,1,-1,0
61625,0,0,0
61671,0,0,0
61718,1,0,0
61764,0,0,0
61810,2,0,1
61856,2,0,0
61903,2,-1,1
61949,1,-1,0
61995,0,0,0
62042,2,0,1
62088,1,-1,0
62134,0,0,0
62181,2,0,1
62227,2,0,1
62273,2,-1,1
62319,1,-1,0
62366,2,-1,1
62412,2,0,0
62458,1,-1,0
62505,0,0,0
62551,2,0,1
62597,1,-1,0
62644,0,-1,0
62690,2,0,1
62736,1,-1,0
62782,1,-1,0
62829,1,-1,0
62875,0,0,0
62921,0,0,2
62968,2,0,1
63014,0,0,0
63060,2,0,1
63107,0,0,0
63153,2,0,1
63199,2,0,1
63245,2,0,1
63292,0,0,0
63338,2,0,1
63384,2,0,1
63431,2,-1,1
63477,0,0,0
63523,2,-1,1
63570,0,0,0
63616,1,-1,0
63662,2,-1,0
63708,0,0,0
63755,0,0,0
63801,2,0,0
63847,0,0,0
63894,2,0,1
63940,2,0,1
63986,0,0,0
64033,0,0,0
64079,2,0,1
64125,2,0,0
64171,2,-1,1
64218,1,-1,0
64264,1,-1,0
64310,0,0,0
64357,2,0,1
64403,2,-1,1
64449,2,0,1
64496,2,0,1
64542,2,-1,1
64588,2,0,0
64634,2,0,1
64681,0,0,0
64727,1,-1,0
64773,2,0,0
64820,2,-1,1
64866,2,0,0
64912,0,0,0
64959,2,0,0
65005,2,-1,1
65051,2,0,1
65097,2,0,0
65144,2,0,1
65190,2,0,1
65236,2,-1,1
65283,2,0,1
65329,2,0,1
65375,0,0,2
65422,2,0,1
65468,2,0,1
65514,2,-1,1
65560,0,0,0
65607,2,0,1
65653,2,-1,1
65699,2,0,1
65746,0,0,0
65792,2,-1,1
65838,2,0,1
65885,0,0,0
65931,2,-1,1
65977,0,0,0
66023,2,0,1
66070,2,0,1
66116,2,0,0
66162,2,-1,1
66209,2,0,0
66255,2,0,1
66301,2,-1,1
66347,2,-1,1
66394,0,0,0
66440,1,-1,0
66486,1,0,0
66533,2,-1,1
66579,2,-1,1
66625,2,0,1
66672,2,0,1
66718,2,-1,1
66764,2,0,0
66810,0,0,2
