time_bin,time_utc,signal_window,horizon,n_days,momentum_ls_mean,momentum_ls_tstat,momentum_ls_p_value,mean_daily_ic,daily_ic_tstat,daily_ic_p_value,split_date,train_n,train_mean,train_tstat,test_n,test_mean,test_tstat,momentum_ls_q_value,daily_ic_q_value
1140,19:00,5,5,2488,-0.00018442419406249625,-6.999397155108749,2.570661997193384e-12,-0.13049245302365017,-11.200560205485397,4.0516324841183424e-29,2023-07-10 00:00:00+00:00,1741,-0.00016881958291442206,-5.298117473357642,747,-0.00022079317399395165,-4.72153569247436,3.9175440576947063e-11,1.0692356945892796e-27
1260,21:00,15,30,2459,-0.00017012985652551567,-6.978950988243002,2.973921944206184e-12,-0.22418238621884165,-11.223713414754945,3.1189285727640474e-29,2023-07-03 00:00:00+00:00,1721,-0.00018765757676145425,-8.071651808566692,738,-0.0001292555929400816,-2.1368354167354906,4.469143810598738e-11,8.653027476232563e-28
300,05:00,60,30,2517,-0.0003001340211688065,-6.9103253132007225,4.83543544380983e-12,-0.13035081871069554,-10.846211972740992,2.0786241278259614e-27,2023-07-11 00:00:00+00:00,1761,-0.00022656742461306953,-4.727760215759036,756,-0.00047149748219347946,-5.143450617693401,7.167042671509912e-11,4.4981426126153806e-26
270,04:30,30,30,2511,-0.00023539963608870464,-6.870043205027396,6.418246258763873e-12,-0.10522690439940162,-8.54703709942039,1.2628860687943594e-17,2023-07-13 00:00:00+00:00,1757,-0.00022076532064647776,-5.916623516735851,754,-0.0002695010846722492,-3.645484417252288,9.384516827003392e-11,7.676644530536499e-17
270,04:30,60,5,2511,-0.00012032974917521715,-6.863887170629667,6.701156591174803e-12,-0.08003712645044542,-6.638102080809559,3.177477910219095e-11,2023-07-13 00:00:00+00:00,1757,-0.0001257563971241984,-6.720820886282527,754,-0.00010768436396784307,-2.7723525000801432,9.667535242201515e-11,9.657390727126575e-11
1350,22:30,60,60,1651,-0.00041119990368706876,-6.8582157316915975,6.972591094552068e-12,-0.17044785302359286,-11.313718747606627,1.1222985778019446e-29,2023-07-10 00:00:00+00:00,1155,-0.0003662487853662279,-5.60503164946923,496,-0.0005158743828414462,-3.9948386827820106,9.926767847770182e-11,3.2819650302208217e-28
390,06:30,5,5,2545,-0.00019266151036341107,-6.8454988499684974,7.620983168498827e-12,-0.12487615905347477,-10.832523112339997,2.4141011782506504e-27,2023-06-30 00:00:00+00:00,1781,-0.0001653877174205801,-5.3720117724061875,764,-0.0002562408627602461,-4.249815655009178,1.0708965958851598e-10,5.1216813232690274e-26
1350,22:30,15,15,1651,-0.0002766025492383626,-6.832887211690084,8.322238812190589e-12,-0.1598207310894324,-10.782007802208284,4.1864653822908436e-27,2023-07-10 00:00:00+00:00,1155,-0.0002674093742494741,-5.318497824412408,496,-0.00029801004341611703,-4.463807574323876,1.1544438967679765e-10,8.711068353151332e-26
240,04:00,30,120,2512,-0.00054428019651913,-6.793106257363119,1.0974448637761292e-11,-0.11325557324909734,-9.359944074407371,7.977890864700298e-21,2023-07-13 00:00:00+00:00,1758,-0.0004405131761065874,-4.971298553599722,754,-0.0007862197480910794,-4.657878392917536,1.5030827121592047e-10,8.143469731703512e-20
1350,22:30,15,30,1651,-0.0003181960702478406,-6.7727592000271155,1.263491556037449e-11,-0.16835213020459575,-11.216939039055354,3.367244553315207e-29,2023-07-10 00:00:00+00:00,1155,-0.00028222632733718893,-5.252990010950608,496,-0.0004019562578724428,-4.284864523499894,1.7088723295406497e-10,9.108396516717636e-28
1050,17:30,30,120,2537,-0.0006269635784925409,-6.766801537002216,1.3166047910350356e-11,-0.09854091272329017,-8.793500744907949,1.449706435132177e-18,2023-07-03 00:00:00+00:00,1775,-0.0007684241069831199,-6.830044483360462,762,-0.0002974459432290529,-1.8338166895024954,1.758723930740628e-10,1.0743714813787778e-17
