root,time_bin,time_utc,horizon,n,mean,tstat,p_value,split_date,train_n,train_mean,train_tstat,test_n,test_mean,test_tstat,q_value
PA,480,08:00,rest,2219,-0.0003134443856998262,-0.6746120016691801,0.49992230589520964,2023-10-19 00:00:00+00:00,1553,-0.0006095869076425765,-1.1664932092598657,666,0.0003771101737252357,0.39492481227194975,0.8278710573049405
SI,270,04:30,60,2429,-3.9125023050759525e-05,-0.6731211034220105,0.5008702491088368,2023-08-04 00:00:00+00:00,1700,3.7589522679584546e-05,0.669291254315875,729,-0.00021802039718187737,-1.529658782022695,0.8278710573049405
PL,1200,20:00,30,2454,-2.1673791477575693e-05,-0.6729427156826305,0.5009837354132103,2023-06-27 00:00:00+00:00,1717,-3.986555256898141e-05,-1.3422363676988889,737,2.070782832424738e-05,0.25267273287249215,0.8278710573049405
PL,420,07:00,30,2534,3.8070306765627304e-05,0.6715692249072435,0.5018579757728296,2023-06-23 00:00:00+00:00,1773,-2.1614806523266673e-05,-0.3545903549737852,761,0.00017712642484868778,1.4253237219899348,0.8283092804017577
GC,270,04:30,120,2385,-3.480982728385615e-05,-0.669294423318773,0.503307683470075,2023-08-21 00:00:00+00:00,1669,1.9467424221463525e-05,0.3939871347017225,716,-0.00016133040376762505,-1.247123206495097,0.8296950903264267
HG,630,10:30,120,2492,5.5851173439231426e-05,0.6661491718053969,0.5053157575205613,2023-07-12 00:00:00+00:00,1744,6.178352818189171e-05,0.6539483340249508,748,4.201958698040852e-05,0.24450623490427392,0.8311518735470308
SI,480,08:00,30,2448,3.929546556195193e-05,0.6659959703964178,0.5054136760466136,2023-07-27 00:00:00+00:00,1713,6.517860793696238e-06,0.10831715824971544,735,0.00011568735259327438,0.8401610546128329,0.8311518735470308
PA,1080,18:00,30,2275,4.442849289726437e-05,0.6629938826625623,0.5073344719667406,2023-09-27 00:00:00+00:00,1592,0.000130268852887917,1.6911388214329304,683,-0.00015565621150261707,-1.1758175168384049,0.8328107306231475
PL,1050,17:30,5,2517,-1.3334065234647987e-05,-0.6620049614834278,0.5079680419809212,2023-06-29 00:00:00+00:00,1761,-5.682909710534118e-07,-0.02549622387075792,756,-4.307021401532265e-05,-1.014660692625181,0.8328107306231475
SI,840,14:00,120,2489,-0.0001134519833612888,-0.661393425846029,0.5083600408517445,2023-07-12 00:00:00+00:00,1742,-7.476315842443355e-06,-0.0429468455314096,747,-0.00036058667254178244,-0.8960725434088492,0.8328107306231475
SI,1110,18:30,15,2424,2.8704822791416083e-05,0.6596246498494956,0.5094947317293643,2023-08-04 00:00:00+00:00,1696,1.4705447010545533e-05,0.3130483006303731,728,6.13187531820156e-05,0.6453698837681788,0.8328107306231475
