window,root,side,start_ts,end_ts,observations,max_abs_z,max_abs_deviation_bp,end_z,end_deviation_bp,duration_hours
20D,HG,rich,2024-04-05 15:30:00+00:00,2024-04-05 20:30:00+00:00,6,2.8683132145407653,72.29771992335182,2.7939560483498473,70.61280705891099,5.0
20D,HG,rich,2024-04-07 22:30:00+00:00,2024-04-08 04:30:00+00:00,7,3.3233556988747575,90.26578479203879,2.954737743125286,77.91941398641255,6.0
20D,HG,rich,2024-04-08 08:30:00+00:00,2024-04-08 09:30:00+00:00,2,2.7934638503788025,71.30564432184877,2.7934638503788025,71.30564432184877,1.0
20D,HG,rich,2024-04-08 11:30:00+00:00,2024-04-09 02:30:00+00:00,15,3.100578402726289,82.5646578189243,2.6427084158248904,72.08577272263011,15.0
20D,HG,rich,2024-04-22 04:30:00+00:00,2024-04-22 04:30:00+00:00,1,2.619525542291485,101.09324839249395,2.619525542291485,101.09324839249395,0.0
20D,HG,rich,2024-05-13 02:30:00+00:00,2024-05-15 03:30:00+00:00,48,5.608147527163218,134.6414391593509,3.4860539861743396,80.66242256549283,49.0
20D,HG,rich,2024-05-15 06:30:00+00:00,2024-05-15 11:30:00+00:00,6,4.300455876435089,101.86745531268248,4.0887525700090235,97.45026594389944,5.0
20D,HG,rich,2024-05-15 18:30:00+00:00,2024-05-16 08:30:00+00:00,14,4.685456798769799,119.08116295520493,2.9038541935589643,75.56807489038559,14.0
20D,HG,rich,2024-05-16 10:30:00+00:00,2024-05-16 11:30:00+00:00,2,2.6871065385022668,69.82225743215636,2.6258275535870594,68.19872630085044,1.0
20D,HG,rich,2024-05-16 13:30:00+00:00,2024-05-17 13:30:00+00:00,24,4.460562566709969,129.1362613840763,2.698994876476679,82.14286274819848,24.0
20D,HG,rich,2024-05-30 12:00:00+00:00,2024-05-31 20:00:00+00:00,32,3.3572361040951963,152.49426000198213,2.844166887773014,140.16420555669762,32.0
20D,HG,rich,2024-06-02 22:00:00+00:00,2024-06-03 02:00:00+00:00,5,2.918920962116181,143.766087517736,2.706760661922078,136.03048907246367,4.0
20D,HG,rich,2024-06-03 13:00:00+00:00,2024-06-03 13:00:00+00:00,1,2.66868634370925,147.85307470551817,2.66868634370925,147.85307470551817,0.0
20D,HG,cheap,2024-06-21 11:30:00+00:00,2024-06-21 11:30:00+00:00,1,2.5398325427912836,70.07450723005931,-2.5398325427912836,-70.07450723005931,0.0
20D,HG,rich,2024-07-05 06:00:00+00:00,2024-07-05 12:00:00+00:00,7,3.6880527228392284,54.18301373301154,3.250521507402673,48.481393557239514,6.0
20D,HG,rich,2024-07-05 14:00:00+00:00,2024-07-05 16:00:00+00:00,3,2.6285038861572643,40.27270238049358,2.6223552110777755,40.27270238049358,2.0
20D,HG,rich,2024-07-05 18:00:00+00:00,2024-07-05 20:00:00+00:00,3,2.7462564658081,42.0608194237429,2.706102437208278,41.14582197970951,2.0
20D,HG,rich,2024-07-07 22:00:00+00:00,2024-07-07 23:00:00+00:00,2,2.9385231680123702,45.75686340669627,2.8250579016490227,44.23812148897116,1.0
20D,HG,rich,2024-07-09 08:00:00+00:00,2024-07-09 08:00:00+00:00,1,2.5470302236649016,47.234647171812696,2.5470302236649016,47.234647171812696,0.0
20D,HG,rich,2024-07-16 09:00:00+00:00,2024-07-16 09:00:00+00:00,1,2.545663591420067,70.02079432102626,2.545663591420067,70.02079432102626,0.0
20D,HG,rich,2024-07-16 12:00:00+00:00,2024-07-16 12:00:00+00:00,1,2.5086530700172873,70.16015898259509,2.5086530700172873,70.16015898259509,0.0
