strategy,root,side,event_count,normalized_fraction,hit_rate,mean_trade_return_bp,median_trade_return_bp,p10_trade_return_bp,p90_trade_return_bp,mean_duration_hours,median_duration_hours,mean_mfe_bp,mean_mae_bp,trade_tstat
event_60D_pure,SI,short_rich,24,1.0,0.75,29.443562928283104,38.832182463798155,-20.005692849948172,93.5818623893523,405.3368055555555,330.5,52.53639968626618,-66.56803028640628,2.2535709389798027
event_60D_pure,GC,short_rich,37,1.0,0.8378378378378378,11.1235687711443,20.02295982573986,-31.7203519971439,43.65230632752156,361.8828828828829,195.0,25.236550492843058,-33.60032618153493,1.6665040193099796
event_60D_pure,HG,short_rich,30,1.0,0.7333333333333333,9.952859972521127,22.381554843778915,-85.43922735254682,68.32888438805274,398.6777777777778,280.5,36.26157779537257,-68.13319754552062,0.781431514187444
event_60D_pure,HG,long_cheap,36,1.0,0.6666666666666666,-1.2608429996073731,22.401220549222696,-98.81676297714193,81.11026579304442,476.78240740740733,289.5,49.626467882163666,-86.14152168851034,-0.06718758703435461
event_60D_pure,GC,long_cheap,32,1.0,0.4375,-6.6846586569626085,-3.3862713165632905,-68.13263037860663,42.8258746603356,641.6510416666667,665.625,22.69140965748312,-52.055923548332586,-0.9005705950534211
event_60D_pure,PL,long_cheap,23,1.0,0.6956521739130435,-8.864313405458418,42.934101289962555,-99.4962801588267,79.83572099244712,509.4384057971015,367.0,47.86519136868106,-130.0669703198623,-0.27445000160441674
event_60D_pure,PA,long_cheap,30,1.0,0.6333333333333333,-10.093535900840443,51.02588091553148,-344.4471595390807,138.5424225158629,566.036111111111,345.75,71.42484058092694,-141.82051859536378,-0.30245539192352344
event_60D_pure,SI,long_cheap,35,1.0,0.6571428571428571,-38.20478611201426,26.437342510967518,-132.9247459439862,67.84298617872086,586.0785714285714,422.5,42.599335534099644,-124.46437222190418,-1.1991136475304085
event_60D_pure,PL,short_rich,27,1.0,0.5555555555555556,-62.32769004267557,25.028491794151325,-334.80015086584683,109.88619094890241,717.3765432098764,595.5,60.73245279930116,-187.8092157865516,-1.396196940885749
event_60D_pure,PA,short_rich,28,1.0,0.4642857142857143,-130.86254467372837,-40.582574056203484,-315.6789692336002,133.02165621725254,727.9494047619047,704.25,67.42095143947363,-284.30638677168275,-1.4028031872256561
