variant,target_months,lookback,lookback_bars,score_method,entry_threshold,exit_threshold,funding_scaled_filter,cost_multiplier,split,observations,active_fraction,gross_excess_return,price_return,carry_return,cost_return,net_return,annualized_net_return,sharpe,tstat,max_drawdown,turnover,gross_to_cost
target6m_lb2w_pressure_vol_scaled_entry1_exit0p5_filt0p02_costx2,6,2w,336,pressure_vol_scaled,1.0,0.5,0.02,2.0,test,17591,0.721050537206526,-0.11107442933928789,-0.10224936259615618,-0.008825066743131727,0.020176097793318144,-0.13125052713260602,-0.04402977769103457,-0.5198899051267241,-0.897612034182715,-0.29849854308904283,73.80000000000001,-5.505248362548737
target6m_lb2w_pressure_vol_scaled_entry1_exit0p5_filt0p02_costx3,6,2w,336,pressure_vol_scaled,1.0,0.5,0.02,3.0,full,59018,0.571300281270121,0.05182816984932127,0.05960708839151177,-0.0077789185421904905,0.0672491164609045,-0.015420946611583206,-0.0015423409852946897,-0.02713385899257847,-0.0857979439982094,-0.3158486761701061,171.4,0.7706892309797371
target6m_lb2w_pressure_vol_scaled_entry1_exit0p5_filt0p02_costx3,6,2w,336,pressure_vol_scaled,1.0,0.5,0.02,3.0,train,41313,0.5065717812795004,0.1567903344798042,0.15602346099249387,0.0007668734873102706,0.03631228455923091,0.12047804992057326,0.0172153582995704,0.4365683446230639,1.1549100848292886,-0.07654065608273446,96.2,4.317831730582941
target6m_lb2w_pressure_vol_scaled_entry1_exit0p5_filt0p02_costx3,6,2w,336,pressure_vol_scaled,1.0,0.5,0.02,3.0,test,17591,0.721050537206526,-0.11107442933928789,-0.10224936259615618,-0.008825066743131727,0.03026414668997721,-0.1413385760292651,-0.04741395114892419,-0.5598679760061591,-0.9666358739821114,-0.3063546922017887,73.80000000000001,-3.6701655750324917
target6m_lb2w_pressure_vol_scaled_entry1_exit0p5_filt0p05_costx0,6,2w,336,pressure_vol_scaled,1.0,0.5,0.05,0.0,full,59018,0.2651902809312413,-0.00035137178047009443,0.004391939881052347,-0.004743311661522449,0.0,-0.00035137178047009443,-3.5142790630500505e-05,-0.001794126980873295,-0.005673074599257939,-0.10052029624169939,76.4,inf
target6m_lb2w_pressure_vol_scaled_entry1_exit0p5_filt0p05_costx0,6,2w,336,pressure_vol_scaled,1.0,0.5,0.05,0.0,train,41313,0.18889937791978312,0.05202769371342243,0.05108252041355055,0.0009451732998718692,0.0,0.05202769371342243,0.007434345006143105,0.5833634236756345,1.5432458844565022,-0.019536322210065595,32.2,inf
target6m_lb2w_pressure_vol_scaled_entry1_exit0p5_filt0p05_costx0,6,2w,336,pressure_vol_scaled,1.0,0.5,0.05,0.0,test,17591,0.4401682678642488,-0.054560945520511814,-0.04861517441230963,-0.005945771108202166,0.0,-0.054560945520511814,-0.01830321259931907,-0.6108155356827922,-1.0545990027657737,-0.08797058302336706,43.4,inf
target6m_lb2w_pressure_vol_scaled_entry1_exit0p5_filt0p05_costx1,6,2w,336,pressure_vol_scaled,1.0,0.5,0.05,1.0,full,59018,0.2651902809312413,-0.00035137178047009443,0.004391939881052347,-0.004743311661522449,0.007609732580366843,-0.00796110436083694,-0.0007962376015687723,-0.04064957592975052,-0.1285349805984332,-0.10488459385193613,76.4,-0.04617399846305188
target6m_lb2w_pressure_vol_scaled_entry1_exit0p5_filt0p05_costx1,6,2w,336,pressure_vol_scaled,1.0,0.5,0.05,1.0,train,41313,0.18889937791978312,0.05202769371342243,0.05108252041355055,0.0009451732998718692,0.002960386060068718,0.0490673076533537,0.007011329305252067,0.5501284613039025,1.45532518730844,-0.020361553031242974,32.2,17.574631368252945
target6m_lb2w_pressure_vol_scaled_entry1_exit0p5_filt0p05_costx1,6,2w,336,pressure_vol_scaled,1.0,0.5,0.05,1.0,test,17591,0.4401682678642488,-0.054560945520511814,-0.04861517441230963,-0.005945771108202166,0.004578909063238924,-0.05913985458375074,-0.01983927003486889,-0.662091453311768,-1.1431290555205222,-0.09173421236683525,43.4,-11.915708472689724
target6m_lb2w_pressure_vol_scaled_entry1_exit0p5_filt0p05_costx2,6,2w,336,pressure_vol_scaled,1.0,0.5,0.05,2.0,full,59018,0.2651902809312413,-0.00035137178047009443,0.004391939881052347,-0.004743311661522449,0.015219465160733687,-0.015570836941203793,-0.0015573324125070448,-0.07950007385232918,-0.2513812313280351,-0.10945809537731047,76.4,-0.02308699923152594
target6m_lb2w_pressure_vol_scaled_entry1_exit0p5_filt0p05_costx2,6,2w,336,pressure_vol_scaled,1.0,0.5,0.05,2.0,train,41313,0.18889937791978312,0.05202769371342243,0.05108252041355055,0.0009451732998718692,0.005920772120137436,0.046106921593284986,0.006588313604361031,0.5168628596231769,1.3673234360771291,-0.021186783852420343,32.2,8.787315684126472
target6m_lb2w_pressure_vol_scaled_entry1_exit0p5_filt0p05_costx2,6,2w,336,pressure_vol_scaled,1.0,0.5,0.05,2.0,test,17591,0.4401682678642488,-0.054560945520511814,-0.04861517441230963,-0.005945771108202166,0.009157818126477847,-0.06371876364698967,-0.021375327470418714,-0.7133357055607116,-1.2316044366497914,-0.0954978417103033,43.4,-5.957854236344862
target6m_lb2w_pressure_vol_scaled_entry1_exit0p5_filt0p05_costx3,6,2w,336,pressure_vol_scaled,1.0,0.5,0.05,3.0,full,59018,0.2651902809312413,-0.00035137178047009443,0.004391939881052347,-0.004743311661522449,0.022829197741100527,-0.023180569521570632,-0.0023184272234453157,-0.11833930876927509,-0.374191868150791,-0.11403159690268475,76.4,-0.015391332821017295
target6m_lb2w_pressure_vol_scaled_entry1_exit0p5_filt0p05_costx3,6,2w,336,pressure_vol_scaled,1.0,0.5,0.05,3.0,train,41313,0.18889937791978312,0.05202769371342243,0.05108252041355055,0.0009451732998718692,0.008881158180206154,0.043146535533216276,0.006165297903469997,0.4835735275615869,1.2792589078338916,-0.02201201467359768,32.2,5.858210456084314
target6m_lb2w_pressure_vol_scaled_entry1_exit0p5_filt0p05_costx3,6,2w,336,pressure_vol_scaled,1.0,0.5,0.05,3.0,test,17591,0.4401682678642488,-0.054560945520511814,-0.04861517441230963,-0.005945771108202166,0.013736727189716772,-0.06829767271022859,-0.022911384905968536,-0.7645409885960147,-1.320012535774195,-0.09926147105377127,43.4,-3.971902824229908
target6m_lb2w_pressure_vol_scaled_entry1p5_exit0_filt0_costx0,6,2w,336,pressure_vol_scaled,1.5,0.0,0.0,0.0,full,59018,0.719712630045071,-0.14150063139922772,-0.1338943843523489,-0.0076062470468786746,0.0,-0.14150063139922772,-0.014152323378655386,-0.15491387744067464,-0.48984157339491785,-0.4007391183201868,93.2,inf
target6m_lb2w_pressure_vol_scaled_entry1p5_exit0_filt0_costx0,6,2w,336,pressure_vol_scaled,1.5,0.0,0.0,0.0,train,41313,0.7130927311015903,0.03288640947613261,0.03103537011621848,0.001851039359914105,0.0,0.03288640947613261,0.004699207222321849,0.06471694126255695,0.17120400286457946,-0.17023684759531515,59.6,inf
target6m_lb2w_pressure_vol_scaled_entry1p5_exit0_filt0_costx0,6,2w,336,pressure_vol_scaled,1.5,0.0,0.0,0.0,test,17591,0.7334432380194418,-0.17315964975631698,-0.1636395955560357,-0.00952005420028124,0.0,-0.17315964975631698,-0.05808876391121177,-0.465153559826055,-0.8031074058670621,-0.3274582997325752,33.400000000000006,inf
target6m_lb2w_pressure_vol_scaled_entry1p5_exit0_filt0_costx1,6,2w,336,pressure_vol_scaled,1.5,0.0,0.0,1.0,full,59018,0.719712630045071,-0.14150063139922772,-0.1338943843523489,-0.0076062470468786746,0.013219639419112174,-0.15472027081833986,-0.015474498482458608,-0.16938798067812283,-0.5356090515605023,-0.40812178801876675,93.2,-10.70381928834265
target6m_lb2w_pressure_vol_scaled_entry1p5_exit0_filt0_costx1,6,2w,336,pressure_vol_scaled,1.5,0.0,0.0,1.0,train,41313,0.7130927311015903,0.03288640947613261,0.03103537011621848,0.001851039359914105,0.008273849730865198,0.024612559745267368,0.0035169396829024036,0.048433242367155294,0.1281266512786317,-0.17045718635691468,59.6,3.9747409665238957
