config,horizon,root,decile,n,signal_mean,forward_excess_mean_bp,forward_excess_median_bp,forward_price_mean_bp,forward_funding_paid_mean_bp,positive_excess_fraction
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,SI,8,1842,0.7197077944535463,17.405180275346968,10.087016342532035,22.63305673688226,5.2278764615354065,0.5135722041259501
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,SI,9,1841,1.1034245880917697,22.32326727523827,16.76547191258074,27.39146356774917,5.068196292511002,0.5236284627919608
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,SI,10,1842,1.8105830614206302,51.144540766465575,48.545074681349675,56.11332135188845,4.968780585422985,0.5841476655808904
full_best_6m_3d_pressure_vol_scaled_filt0,1h,GC,1,5781,-1.6676359069685305,0.2138943809736364,0.34693508111662136,0.26386211310047986,0.04996773212684346,0.5004324511330219
full_best_6m_3d_pressure_vol_scaled_filt0,1h,GC,2,5780,-0.9848603261328891,-0.41028465169015577,-0.02457717776351276,-0.3571062678938739,0.05317838379628187,0.49083044982698965
full_best_6m_3d_pressure_vol_scaled_filt0,1h,GC,3,5780,-0.6388733193459926,-0.3912184369419485,-0.03324081052854736,-0.3378514236083344,0.05336701333361405,0.4884083044982699
full_best_6m_3d_pressure_vol_scaled_filt0,1h,GC,4,5780,-0.34518816457938706,0.5487197003834275,0.4418607625562696,0.6020409218776572,0.05332122149422967,0.5044982698961937
full_best_6m_3d_pressure_vol_scaled_filt0,1h,GC,5,5780,-0.07874580136732313,0.1582338288399292,-0.007652015872568533,0.21001245736638688,0.051778628526457746,0.49844290657439444
full_best_6m_3d_pressure_vol_scaled_filt0,1h,GC,6,5780,0.1706461670120361,0.07339716604540383,-0.03166483569064264,0.1289073462669439,0.05551018022154004,0.486159169550173
full_best_6m_3d_pressure_vol_scaled_filt0,1h,GC,7,5780,0.45532655695114954,-0.44324922809728245,-0.018092316456915107,-0.3910854868327955,0.05216374126448706,0.494636678200692
