strategy,root,side,event_count,normalized_fraction,hit_rate,mean_trade_return_bp,median_trade_return_bp,p10_trade_return_bp,p90_trade_return_bp,mean_duration_hours,median_duration_hours,trade_tstat
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p0_expanding_n5_hit52_meanpos,HG,long_cheap,132,0.0,0.5378787878787878,5.766666768841613,2.157696551392963,-34.61900828321482,53.05546067684523,9.232323232323232,1.9166666666666667,1.6155287450031834
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p0_expanding_n5_hit52_meanpos,HG,short_rich,55,0.0,0.6,6.463460798129311,3.08081627941025,-25.976551771354465,35.60176015715112,9.790909090909091,2.1666666666666665,1.2679321087445392
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p0_expanding_n5_hit52_meanpos,PA,long_cheap,102,0.0,0.5784313725490197,10.444607779450374,6.168071683380627,-24.81293544430396,55.34317343593248,5.7107843137254894,1.9166666666666667,3.0634066480953583
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p25_expanding_n10_hit55_meanpos,HG,long_cheap,14,0.0,0.35714285714285715,-6.082451103664342,-14.736951298341364,-46.82902492437395,56.8263991279264,24.36904761904762,15.791666666666668,-0.5555437702242119
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p25_expanding_n10_hit55_meanpos,SI,short_rich,40,0.0,0.45,-3.3298184940387943,-0.6701850604470816,-18.215341415723227,13.99587317394058,1.875,1.0,-1.2372745690538982
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p25_expanding_n10_hit55_meanpos,PA,short_rich,111,0.0,0.4954954954954955,-0.6174199525260212,-0.4204181384848127,-29.197062884835923,29.463260619491116,10.46771771771772,2.6666666666666665,-0.20557929661705887
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p25_expanding_n10_hit55_meanpos,GC,long_cheap,25,0.0,0.64,3.3432700235288553,1.8625934807545153,-9.814323332587248,16.4350938600919,1.95,1.0,1.371679502101744
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p25_expanding_n10_hit55_meanpos,PL,short_rich,69,0.0,0.5217391304347826,3.4066700017096623,1.143498279319588,-18.234872608037122,34.65074160050997,6.929951690821257,1.9166666666666667,1.1475586016746975
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p25_expanding_n10_hit55_meanpos,HG,short_rich,33,0.0,0.5454545454545454,5.8576703383950885,3.9968667775253097,-28.1818960879571,37.03088356778402,14.303030303030301,4.916666666666667,0.8613793798699634
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p25_expanding_n10_hit55_meanpos,PA,long_cheap,81,0.0,0.5802469135802469,11.908714543334632,5.720755282270229,-18.967390215030022,56.2809528500241,6.271604938271604,1.9166666666666667,3.0227750600829717
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p25_expanding_n5_hit52_meanpos,SI,short_rich,54,0.0,0.5370370370370371,-1.5242083278554301,0.5711083198678413,-17.284036432849977,16.825617054219702,2.132716049382716,1.0,-0.6452742996533614
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p25_expanding_n5_hit52_meanpos,PA,short_rich,132,0.0,0.5227272727272727,0.7148727878120912,0.8405285051854561,-23.73195234843961,29.236988043171777,9.928661616161614,2.4583333333333335,0.2626760553174542
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p25_expanding_n5_hit52_meanpos,GC,long_cheap,25,0.0,0.64,3.3432700235288553,1.8625934807545153,-9.814323332587248,16.4350938600919,1.95,1.0,1.371679502101744
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p25_expanding_n5_hit52_meanpos,PL,short_rich,85,0.0,0.5529411764705883,3.813578069051864,1.5063319304783884,-14.442101666949146,34.28770212481114,6.07843137254902,1.8333333333333333,1.4951231424975773
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p25_expanding_n5_hit52_meanpos,HG,long_cheap,43,0.0,0.46511627906976744,5.56359987755518,-2.196365472774565,-42.0735009221743,59.18851877924746,14.430232558139535,3.8333333333333335,0.8004536108250188
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p25_expanding_n5_hit52_meanpos,HG,short_rich,33,0.0,0.5454545454545454,5.8576703383950885,3.9968667775253097,-28.1818960879571,37.03088356778402,14.303030303030301,4.916666666666667,0.8613793798699634
