root,asset,asset_class,horizon_bars,horizon,beta_bps_per_full_ofi_high,beta_bps_per_full_ofi_low,corr_high,corr_low,hit_rate_high,hit_rate_low,n_high,n_low,nw_tstat_high,nw_tstat_low,r2_high,r2_low,abs_corr_high_minus_low,abs_nw_tstat_high_minus_low,abs_beta_bps_per_full_ofi_high_minus_low,abs_hit_rate_high_minus_low
CL,WTI Crude Oil,Energy,3,next_15m,-8.86064720002824,5.191211136893969,-0.045357939432078546,0.010481643346471016,0.47601246105919004,0.5052959501557632,1605,1605,-1.6852315858133993,0.37261814704402724,0.002057342669524065,0.00010986484724240242,0.03487629608560753,1.312613438769372,3.6694360631342704,-0.02928348909657319
CL,WTI Crude Oil,Energy,6,next_30m,-0.4493036458732092,24.899471336711674,-0.0016660857413362418,0.03633780402030682,0.49343339587242024,0.5134459036898061,1599,1599,-0.0638458420082629,1.2444207650158512,2.7758416974998923e-06,0.001320436001018388,-0.03467171827897058,-1.1805749230075884,-24.450167690838466,-0.020012507817385894
CL,WTI Crude Oil,Energy,12,next_60m,-9.403584757938216,49.689200442037595,-0.02501190078104112,0.0518156028156838,0.5015752993068683,0.5015752993068683,1587,1587,-0.9499758401150424,1.5471457436787717,0.000625595180680838,0.0026848566951526154,-0.02680370203464268,-0.5971699035637292,-40.28561568409938,0.0
CNH,Offshore Renminbi,FX,0,same_bar,0.23086859550467512,0.22344503152219677,0.14596649894813032,0.15714571009548706,0.40399002493765584,0.410958904109589,401,657,3.32243598856165,4.910924716772948,0.021306218815174582,0.02469477420141486,-0.011179211147356732,-1.5884887282112983,0.007423563982478343,-0.006968879171933173
CNH,Offshore Renminbi,FX,1,next_5m,0.036889868015299136,-0.14559182485775468,0.024949506262957482,-0.10416126005482294,0.36177474402730375,0.2813852813852814,293,462,0.42996556610233316,-2.2694769217107345,0.0006224778627653693,0.010849568096208295,-0.07921175379186546,-1.8395113556084013,-0.10870195684245554,0.08038946264202235
CNH,Offshore Renminbi,FX,3,next_15m,-0.11479501429757544,-0.11936771663779915,-0.04678302787843761,-0.048269005588213745,0.40555555555555556,0.39492753623188404,180,276,-0.7145238836620665,-0.8663371376531204,0.0021886516974748416,0.002329896900475137,-0.0014859777097761331,-0.15181325399105383,-0.004572702340223708,0.010628019323671523
CNH,Offshore Renminbi,FX,6,next_30m,0.13050205195545034,0.09027083823796335,0.0427352345804668,0.026640154713093018,0.4424778761061947,0.44025157232704404,113,159,0.637900532425749,0.3240309700156065,0.0018263002746473633,0.0007096978431373469,0.01609507986737378,0.31386956241014247,0.04023121371748699,0.0022263037791506735
CNH,Offshore Renminbi,FX,12,next_60m,0.14719385282319658,0.057417510933805066,0.035277935992930366,0.013184545996086018,0.4,0.4666666666666667,60,75,0.31201223149202556,0.08148955353030198,0.001244532767921358,0.00017383225312295192,0.022093389996844348,0.2305226779617236,0.08977634188939151,-0.06666666666666665
DHB,Duration-Hedged IG Credit Index,Credit,0,same_bar,0.6537447670265787,0.5532085598923682,0.32812569820111404,0.2759635198347553,0.3048327137546468,0.29473684210526313,269,475,5.696824259290557,5.594227068159458,0.10766647381996897,0.07615586427958732,0.052162178366358725,0.10259719113109966,0.10053620713421052,0.010095871649383692
DHB,Duration-Hedged IG Credit Index,Credit,1,next_5m,-0.11939112027681385,-0.334699961620013,-0.06481071830578608,-0.1815322052381772,0.17010309278350516,0.13564668769716087,194,317,-1.0386520271169661,-3.148218540148041,0.0042004292073121174,0.032953941538635845,-0.11672148693239112,-2.1095665130310746,-0.2153088413431991,0.03445640508634429
