root,target_months,horizon,horizon_bars,n,mean_forward_return_bp,median_forward_return_bp,mean_initial_funding_paid_bp,mean_path_funding_paid_bp,mean_excess_after_initial_funding_bp,mean_excess_after_path_funding_bp,median_excess_after_path_funding_bp,path_excess_hac_t,initial_excess_hac_t,positive_path_excess_fraction,contango_fraction,avg_abs_funding_share_of_abs_return
PL,6,1d,24,28375,-4.3764672195765675,-1.071868804283227,0.9944836409711357,0.9954504797093465,-5.370950860547702,-5.3719176992859135,-2.0483263177089084,-0.9876929761272301,-0.9875779181939968,0.49476651982378855,0.9495330396475771,0.027672814431162658
PL,6,3d,72,21395,-2.7313437533006244,0.0,3.3036633858382456,3.282231206352036,-6.035007139138864,-6.013574959652654,-3.4798454681625848,-0.300249206591723,-0.3013690475606112,0.4947885019864454,0.9622341668614163,0.05903692947917463
PL,6,1w,168,16422,25.489719965483214,32.7954288218546,8.565271648325666,8.468028988175158,16.92444831715754,17.021690977308044,23.133963658698057,0.33073719931833445,0.3289709667881345,0.5222871757398612,0.9811837778589697,0.11149568374975748
PL,6,1m,720,9634,517.0593029147283,131.5808334315971,45.5890034794698,44.58307283607387,471.4702994352584,472.47623007865434,87.83913630713036,1.7208887443624714,1.7207689311820458,0.5510691301640025,1.0,0.41541731516974023
SI,1,1h,1,58118,0.19088798581213168,0.0,0.05819660873916062,0.05819660873916062,0.13269137707297102,0.13269137707297102,-0.031023685078818166,0.7473224411689295,0.7473224411689295,0.482828039505833,0.9463677346088991,0.006082565643655569
SI,1,4h,4,57893,0.786264012232606,0.0,0.23459059701321328,0.2330308022540754,0.5516734152193926,0.5532332099785305,-0.049386682521242016,0.9469090472267259,0.9442818241253561,0.4984540445304268,0.9464874855336569,0.01627408634301531
SI,1,1d,24,56411,5.106851146359157,6.064281568503027,1.415453235202078,1.4044388911150891,3.691397911157077,3.7024122552440675,4.809292396480801,1.0100367003642774,1.0071811806601179,0.5128964209108152,0.947935686302317,0.04058787383103418
SI,1,3d,72,53381,17.51881327680843,22.851929505840474,4.277349111870718,4.239837345047214,13.241464164937714,13.278975931761218,18.794629407139716,1.1685551156718148,1.1654843674424726,0.5295142466420637,0.9484460763192897,0.07283669995476118
SI,1,1w,168,48551,41.347411310525395,40.80527968819414,10.143763678170147,10.015927278462982,31.20364763235524,31.331484032062406,31.306352462930207,1.146881554160238,1.1427111076855858,0.530596692138164,0.9482193981586373,0.12193298828993002
SI,1,1m,720,29359,244.93147230246635,164.15595695693509,47.85758360931558,46.975743580000305,197.07388869315082,197.95572872246612,117.12711057522858,1.656258963653129,1.6516320154635673,0.543955856807112,0.9443782145168432,0.26483124353755527
