feature,root,horizon,spearman_ic,pvalue,observations,bh_qvalue
md_ewma,HG,1,-0.0009875603007899643,0.627341109872022,241661,0.790054771053221
md_ewma,HG,2,6.756926744794365e-05,0.9735022159063575,241660,0.9848929919475304
md_ewma,HG,5,0.0014053503098810673,0.48966132028572984,241657,0.6903190824772855
md_ewma,HG,10,0.002772859653851404,0.1728569745080672,241652,0.33925200604387024
md_ewma,HG,20,-0.0029018196486705694,0.15373968156426632,241642,0.3124402107464065
md_ewma,HG,50,0.002691166797794161,0.1858976222140777,241612,0.358974718758219
md_ewma,PL,1,0.0009764656822321777,0.6312141201646967,241661,0.7901935334401567
md_ewma,PL,2,0.0006067984932092296,0.7654787020655494,241660,0.8749197792717174
md_ewma,PL,5,0.002645979988134829,0.19335334909196472,241657,0.36880289558208373
md_ewma,PL,10,-0.0013667029659004035,0.5016841496426255,241652,0.6991776495385235
md_ewma,PL,20,-0.0016279841354677866,0.4235566395074946,241642,0.6263865795533371
md_ewma,PL,50,-0.003976690583841621,0.05061827307432264,241612,0.1236027598326483
md_ewma,PA,1,-0.0005600800192897676,0.7830638788873469,241661,0.8864874100611475
md_ewma,PA,2,0.0025782192898753933,0.20500498718543145,241660,0.37847074557310423
md_ewma,PA,5,0.00441580685033166,0.029950143526098892,241657,0.0786191267560096
md_ewma,PA,10,0.004872420180384247,0.016611681840643433,241652,0.04773607762499683
md_ewma,PA,20,0.0022905252971449257,0.26018611177563983,241642,0.44970439072332813
md_ewma,PA,50,-0.0009367749376666784,0.6451857320191922,241612,0.7991256048316747
GC_large_minus_small_share,GC,1,-0.0028759177393543165,0.15700088939010892,242161,0.31778493274142533
GC_large_minus_small_share,GC,2,-0.0028429368284504865,0.1618136256714498,242160,0.32439963141770367
GC_large_minus_small_share,GC,5,-0.0020774318311783287,0.30664432214571585,242157,0.5036227889178704
GC_large_minus_small_share,GC,10,-0.0056878634891710704,0.005126976619391336,242152,0.01675743330851643
GC_large_minus_small_share,GC,20,-0.007049730563136252,0.0005222995050260922,242142,0.0020597726958775466
GC_large_minus_small_share,GC,50,-0.011939832260823865,4.224378391175486e-09,242112,2.4472261024740747e-08
GC_large_minus_small_share,SI,1,-0.0009930351431059296,0.6250762176563344,242161,0.790054771053221
GC_large_minus_small_share,SI,2,0.0003066777338394846,0.880043093989271,242160,0.9352201568708981
GC_large_minus_small_share,SI,5,0.0009879189867591535,0.626862866143708,242157,0.790054771053221
GC_large_minus_small_share,SI,10,0.0005953940364889164,0.7695331422368025,242152,0.8782715210311333
GC_large_minus_small_share,SI,20,0.0018787991416896988,0.3552186939139126,242142,0.5532153367415288
GC_large_minus_small_share,SI,50,0.001642064051660988,0.41910671067027977,242112,0.6230967025894425
GC_large_minus_small_share,HG,1,-0.0016644870389698266,0.4127361927210911,242161,0.6180007163738263
GC_large_minus_small_share,HG,2,-0.0031440466750449095,0.12182141252559545,242160,0.26238458082435945
GC_large_minus_small_share,HG,5,-0.0012080476725023377,0.5521972886124166,242157,0.7327736531349605
GC_large_minus_small_share,HG,10,-0.0016018247831574458,0.4305578158252035,242152,0.633395035539704
GC_large_minus_small_share,HG,20,-0.00023745434903401144,0.9069822814350715,242142,0.9567991141230671
GC_large_minus_small_share,HG,50,-0.0010938519721578964,0.5904210954250828,242112,0.7742607512637806
GC_large_minus_small_share,PL,1,-0.0007968105641261748,0.6949788783054371,242161,0.8339746539665246
GC_large_minus_small_share,PL,2,0.0006140500872861398,0.7625217002461698,242160,0.8749197792717174
GC_large_minus_small_share,PL,5,0.0008534577048943685,0.6745002441405885,242157,0.8211307319972382
GC_large_minus_small_share,PL,10,0.000581791513667953,0.7746544875792936,242152,0.8817205549683016
GC_large_minus_small_share,PL,20,-0.0014462905879980875,0.47665905107692114,242142,0.6792876686539033
GC_large_minus_small_share,PL,50,-0.0006060291393125181,0.7655548068627527,242112,0.8749197792717174
GC_large_minus_small_share,PA,1,-0.0019386900313280756,0.3400722235112402,242161,0.5428425083458156
GC_large_minus_small_share,PA,2,-0.0006607072772140895,0.7450820864113342,242160,0.8635457084544992
GC_large_minus_small_share,PA,5,-0.0011613704313831851,0.567659914607852,242157,0.7497395098594273
GC_large_minus_small_share,PA,10,-0.0024787708756473965,0.2225511265448412,242152,0.3992135979326295
GC_large_minus_small_share,PA,20,-0.003724695855882333,0.0668259993351591,242142,0.15857016791393688
GC_large_minus_small_share,PA,50,-0.0025230512909724793,0.21443591368004714,242112,0.39038968037787963
SI_large_minus_small_share,GC,1,0.0008166969849079536,0.687762473782923,242161,0.8288672567828627
SI_large_minus_small_share,GC,2,0.00016617646915331857,0.934825945127376,242160,0.9679392321135039
SI_large_minus_small_share,GC,5,-0.0013645574154333851,0.5019096698472972,242157,0.6991776495385235
SI_large_minus_small_share,GC,10,-8.011780638449243e-05,0.968551610752439,242152,0.9848929919475304
SI_large_minus_small_share,GC,20,0.0005242116955995693,0.796443650980349,242142,0.8933705601147683
SI_large_minus_small_share,GC,50,-0.0014448723063238485,0.47711871964976543,242112,0.6792876686539033
SI_large_minus_small_share,SI,1,0.005983399773609495,0.00323546351475033,242161,0.011138480952419169
SI_large_minus_small_share,SI,2,0.00609529151363277,0.002704316409652957,242160,0.009625532983510524
SI_large_minus_small_share,SI,5,0.007225531295777726,0.000377013784650216,242157,0.0015152707134267055
SI_large_minus_small_share,SI,10,0.01053497268884619,2.1686756216578032e-07,242152,1.1385547013703466e-06
SI_large_minus_small_share,SI,20,0.01650491780952458,4.576607954640878e-16,242142,3.314095415429602e-15
SI_large_minus_small_share,SI,50,0.016859771300560624,1.0733485795857666e-16,242112,7.978874396920743e-16
SI_large_minus_small_share,HG,1,0.0002614966959935467,0.8976096844980376,242161,0.9484177798469832
SI_large_minus_small_share,HG,2,0.001359129594078394,0.503609540485284,242160,0.7000721538552162
SI_large_minus_small_share,HG,5,-0.0002748469621109268,0.8924142288789902,242157,0.9449823717995033
SI_large_minus_small_share,HG,10,0.001274723022687594,0.5304791628578406,242152,0.7187137045170744
SI_large_minus_small_share,HG,20,0.002947198024332214,0.14698862391500112,242142,0.30336718449287703
SI_large_minus_small_share,HG,50,0.006086516417602761,0.002745571152638488,242112,0.009731138262516158
SI_large_minus_small_share,PL,1,0.0019948641874056225,0.3262645597107517,242161,0.5260311519328819
SI_large_minus_small_share,PL,2,0.0024963626578235706,0.2192782667186343,242160,0.39565101550872506
SI_large_minus_small_share,PL,5,0.005293045303795297,0.009195921802279211,242157,0.028399170271744625
SI_large_minus_small_share,PL,10,0.004688967674115335,0.02103296745142211,242152,0.05773755770978619
SI_large_minus_small_share,PL,20,0.005026895251382081,0.013374672554027115,242142,0.03968910517891637
SI_large_minus_small_share,PL,50,0.004866036562938782,0.01665079850490961,242112,0.04773607762499683
SI_large_minus_small_share,PA,1,0.00032450302162955445,0.8731279161536186,242161,0.9348120339788751
SI_large_minus_small_share,PA,2,0.0013038500990347234,0.5211209819070105,242160,0.7153589734148721
SI_large_minus_small_share,PA,5,0.001873953933631308,0.35644591718826507,242157,0.5532153367415288
SI_large_minus_small_share,PA,10,8.904258455091889e-05,0.9650505248110438,242152,0.9848929919475304
SI_large_minus_small_share,PA,20,0.0015191853520507112,0.4547279049508694,242142,0.654120007537553
SI_large_minus_small_share,PA,50,0.0027818468050666103,0.1710618314310196,242112,0.33889608113692565
HG_large_minus_small_share,GC,1,-0.00037577143866975634,0.8532952046643287,242161,0.9203444127821767
HG_large_minus_small_share,GC,2,-0.0013399615342220724,0.5096462080371125,242160,0.7052764658174209
HG_large_minus_small_share,GC,5,-0.0036256606279284186,0.07439696838966367,242157,0.172633849301982
HG_large_minus_small_share,GC,10,-0.007295743966472157,0.0003304399510511926,242152,0.0013344690330913548
HG_large_minus_small_share,GC,20,-0.011407362558687868,1.982973071624096e-08,242142,1.0886910981465627e-07
HG_large_minus_small_share,GC,50,-0.016074999924829452,2.570701138391032e-15,242112,1.8146125682760228e-14
HG_large_minus_small_share,SI,1,0.00236440522587463,0.24462019228356224,242161,0.43077769710312847
HG_large_minus_small_share,SI,2,0.0017201084350932456,0.3972976258562136,242160,0.6024007323451614
