variant,gross_residual_return,primary_cost_return,macro_hedge_cost_return,total_cost_return,net_return_after_all_costs,net_raw_return_after_primary_cost,trade_overlap_net,trade_overlap_carry_adjusted_net,ann_return,ann_vol,sharpe_after_all_costs,tstat_after_all_costs,max_drawdown,mean_gross_exposure,mean_primary_turnover,mean_hedge_turnover,mean_complex_hedge_gross,gross_to_total_cost,event_count,event_win_rate,mean_event_return,event_tstat,mean_duration_days,bars
neg_z2.5_root2_exit0.5_mdq90_normq50_post2020_topo_exit,0.23727763109525724,0.015142625453741908,0.006009839430223049,0.02115246488396496,0.2161251662112923,0.2192424769071947,0.017371892696995496,0.017447848066644643,0.013477738650147404,0.020428561460426056,0.6597497663384818,2.64194273505362,-0.028089710881316815,0.010640930462756744,0.019178421182875525,0.010624293227413319,0.003553080140254403,11.217493204545168,40,0.725,0.012195094337458516,3.3207002547802302,1.45,4041
neg_z3_root2_exit0.25_mdq90_normq50_post2020_topo_hold,0.22640974502480013,0.012253577677333961,0.005006248405658874,0.017259826082992834,0.2091499189418073,0.2170417594175296,-0.0006856996952180634,-0.0006257346534230364,0.013042756637796447,0.019887855021619327,0.6558151506845844,2.626186716980687,-0.027844760142118813,0.00866122246968572,0.015219005196733483,0.009246683580783408,0.003011936480450806,13.117730383615832,32,0.78125,0.014564625042419576,3.378964362910215,1.5,4041
neg_z3_root2_exit0.5_mdq90_normq50_post2020_topo_hold,0.22640974502480013,0.012253577677333961,0.005006248405658874,0.017259826082992834,0.2091499189418073,0.2170417594175296,-0.0006856996952180634,-0.0006257346534230364,0.013042756637796447,0.019887855021619327,0.6558151506845844,2.626186716980687,-0.027844760142118813,0.00866122246968572,0.015219005196733483,0.009246683580783408,0.003011936480450806,13.117730383615832,32,0.78125,0.014564625042419576,3.378964362910215,1.5,4041
neg_z3_root2_exit0.25_mdq90_normq50_post2020_topo_exit,0.2252284767999002,0.012253577677333961,0.005006049303260716,0.017259626980594675,0.20796884981930555,0.21695692496119537,-0.0018667688177198011,-0.0017939303965854745,0.012969104220357585,0.01988586542038751,0.6521770084525123,2.611617915399356,-0.028089710881316815,0.008413758970551844,0.015219005196733483,0.009246683580783408,0.002927746919149877,13.049440584847451,32,0.78125,0.014490795778363333,3.3329926187884453,1.4375,4041
neg_z3_root2_exit0.5_mdq90_normq50_post2020_topo_exit,0.2252284767999002,0.012253577677333961,0.005006049303260716,0.017259626980594675,0.20796884981930555,0.21695692496119537,-0.0018667688177198011,-0.0017939303965854745,0.012969104220357585,0.01988586542038751,0.6521770084525123,2.611617915399356,-0.028089710881316815,0.008413758970551844,0.015219005196733483,0.009246683580783408,0.002927746919149877,13.049440584847451,32,0.78125,0.014490795778363333,3.3329926187884453,1.4375,4041
neg_z2.5_root1.5_exit0.25_mdq95_normq50_post2020_topo_hold,0.14005693389535753,0.009077910265823936,0.0035207068449885216,0.012598617110812456,0.12745831678454506,0.10269664688354593,0.03607548173413749,0.03607109718256006,0.00794840282843488,0.015506831588898696,0.5125742665655262,2.0525840687201806,-0.023131836015140073,0.006434050977480821,0.011754516208859193,0.006976808806019807,0.0020254599061320664,11.116849783073182,25,0.68,0.01073323402986718,2.676268334008232,1.56,4041
neg_z2.5_root1.5_exit0.25_mdq95_normq50_post2020_topo_exit,0.14005693389535753,0.009077910265823936,0.0035207068449885216,0.012598617110812456,0.12745831678454506,0.10269664688354593,0.03607548173413749,0.03607109718256006,0.00794840282843488,0.015506831588898696,0.5125742665655262,2.0525840687201806,-0.023131836015140073,0.006434050977480821,0.011754516208859193,0.006976808806019807,0.0020254599061320664,11.116849783073182,25,0.68,0.01073323402986718,2.676268334008232,1.56,4041
neg_z2.5_root1.5_exit0.5_mdq95_normq50_post2020_topo_hold,0.14005693389535753,0.009077910265823936,0.0035207068449885216,0.012598617110812456,0.12745831678454506,0.10269664688354593,0.03607548173413749,0.03607109718256006,0.00794840282843488,0.015506831588898696,0.5125742665655262,2.0525840687201806,-0.023131836015140073,0.006434050977480821,0.011754516208859193,0.006976808806019807,0.0020254599061320664,11.116849783073182,25,0.68,0.01073323402986718,2.676268334008232,1.56,4041
neg_z2.5_root1.5_exit0.5_mdq95_normq50_post2020_topo_exit,0.14005693389535753,0.009077910265823936,0.0035207068449885216,0.012598617110812456,0.12745831678454506,0.10269664688354593,0.03607548173413749,0.03607109718256006,0.00794840282843488,0.015506831588898696,0.5125742665655262,2.0525840687201806,-0.023131836015140073,0.006434050977480821,0.011754516208859193,0.006976808806019807,0.0020254599061320664,11.116849783073182,25,0.68,0.01073323402986718,2.676268334008232,1.56,4041
neg_z3_root1.5_exit0.25_mdq95_normq50_post2020_topo_hold,0.1281716722977307,0.008120157718430535,0.0032934797515815806,0.011413637470012117,0.11675803482771856,0.09550516689431233,0.02345494446706073,0.023484088744288194,0.0072811246663165245,0.01509779667456337,0.4822640563562296,1.9312079898701346,-0.023131836015140073,0.0056916604800791885,0.010269735214055926,0.00648022987924597,0.0018997389531058271,11.229695409065295,21,0.7142857142857143,0.01148229532520292,2.49514407219944,1.5238095238095237,4041
neg_z3_root1.5_exit0.25_mdq95_normq50_post2020_topo_exit,0.1281716722977307,0.008120157718430535,0.0032934797515815806,0.011413637470012117,0.11675803482771856,0.09550516689431233,0.02345494446706073,0.023484088744288194,0.0072811246663165245,0.01509779667456337,0.4822640563562296,1.9312079898701346,-0.023131836015140073,0.0056916604800791885,0.010269735214055926,0.00648022987924597,0.0018997389531058271,11.229695409065295,21,0.7142857142857143,0.01148229532520292,2.49514407219944,1.5238095238095237,4041
