signal,entry,target,horizon,events,direction,train_event_mean_bps,train_event_t,roundtrip_bps,event_gross_to_roundtrip_cost,screen_score
resid:PA,1.5,SI,10,44665,1.0,0.7115445253947854,4.5009019921507045,3.739016638624893,0.19030258331679203,0.8565332763619747
feat:entropy_normalized,1.5,GC,50,22750,-1.0,0.5251919148860069,1.7965049393378665,1.1015763557651,0.4767639684143682,0.8565088241547351
size:very_large_small_l1_distance,2.0,GC,10,5119,1.0,0.4922923190164713,1.915203676986833,1.1015763557651,0.44689804427996244,0.8559007776432086
resid:PL,2.0,GC,5,20263,1.0,0.2946422380917932,3.196985607461447,1.1015763557651,0.26747327731734893,0.8551082179641089
feat:SI_notional_share,2.5,SI,1,4730,1.0,0.7788400401424559,4.104028322544319,3.739016638624893,0.2083007687360524,0.8548722545005133
feat:SI_notional_share,2.5,PL,50,4730,1.0,2.173490114873883,2.013601763434557,5.126364894653202,0.42398271670844834,0.8537323460299058
resid:HG,3.0,GC,5,2768,-1.0,0.4937104355561837,1.9026272581042567,1.1015763557651,0.448185396293548,0.8527297516723629
resid:SI,3.0,PL,50,1986,1.0,2.481820194558506,1.7603341412466675,5.126364894653202,0.48412866535252774,0.8522282183762372
anom:md_rolling,3.0,PL,10,3238,1.0,1.5959679046270903,2.7368408250478042,5.126364894653202,0.31132545915560644,0.8520482264938164
feat:PA_signed_notional_share,2.0,HG,20,8413,-1.0,0.8902472522695584,1.5319608999618133,1.6007683688161451,0.5561374584931013,0.851980841415567
feat:entropy_normalized,3.0,HG,1,467,-1.0,0.678539958189685,2.000523247276403,1.6007683688161451,0.4238839118813311,0.8479896198650653
feat:abs_complex_signed_notional_ratio,2.5,GC,10,4310,1.0,0.5184277098106312,1.7994185255782944,1.1015763557651,0.4706234906889929,0.8468486277180978
feat:distance_from_equal_weight,2.5,SI,10,1085,-1.0,1.770364154431928,1.787192314336169,3.739016638624893,0.4734838931027114,0.846206774715134
feat:PL_notional_share,1.5,HG,10,11389,1.0,0.6132127409244719,2.1991107279920037,1.6007683688161451,0.3830739992557298,0.8424221413780763
size:large_small_l1_distance,3.0,GC,10,3764,1.0,0.5631169942787227,1.6465263286287357,1.1015763557651,0.5111919762362817,0.8416910478567927
size:very_large_small_l1_distance,1.5,HG,10,19645,1.0,0.5361657553689239,2.5004338335036134,1.6007683688161451,0.33494274737915236,0.8375021778334862
size:large_small_l1_distance,1.5,HG,50,16495,1.0,0.8735116092392582,1.5320142775489154,1.6007683688161451,0.545682702292067,0.8359936909229209
